Day,Time,FTime,E,F,G,long,lat,h,condition,Origin: P0_az,Origin: P0_el,Origin: P0_ra,P1_az,P1_el,P1_ra,P2_az,P2_el,P2_ra,P3_az,P3_el,P3_ra,
2018.265,183235.536,00066755.536,3140463.56927778,-5439442.46131133,1111315.00399546,-60.000000000014,10.100000000003,1000.00000043,2.04513674,89.99123166,5.16338118,11006.94528659,270.00876834,5.16338118,11006.94528970,333.64464434,2.20773587,24711.66080425,26.35535565,2.20773587,24711.66080287,
2018.265,183235.636,00066755.636,3150920.56518001,-5435623.21019856,1100422.19587853,-59.900000000000,10.000000000012,999.99999992,2.05601813,116.75326827,2.22130823,24578.84291162,180.00000000,5.11561949,11106.79010828,0.00000000,5.11565019,11106.72406467,63.21918434,2.22071619,24584.79461292,
2018.265,183235.736,00066755.736,3142384.55511808,-5442769.70638441,1089526.10031397,-60.000000000001,9.900000000015,1000.00000102,1.46676542,153.62727949,2.20773632,24711.66080955,206.37272051,2.20773632,24711.66080963,270.00859647,5.16018187,11013.62255196,89.99140353,5.16018187,11013.62255178,
2018.265,183235.836,00066755.836,3131927.50284177,-5446588.85985257,1100422.19587734,-60.100000000007,10.000000000001,999.99999996,1.46077455,180.00000000,5.11561949,11106.79010949,243.24673173,2.22130823,24578.84291281,296.78081565,2.22071619,24584.79461302,360.00000000,5.11565019,11106.72406347,
2018.265,183235.936,00066755.936,3141921.22255598,-5441967.19084717,1100595.84405600,-60.000000000006,10.000000000008,2000.00000067,1.69499501,135.24772014,7.24706339,15703.14315878,224.75227986,7.24706339,15703.14315967,315.25615449,7.24597781,15705.43753067,44.74384550,7.24597781,15705.43752977,
2018.265,183236.036,00066756.036,3146814.71057802,-5435097.18852516,1114582.20050498,-59.929999999995,10.130000000000,1000.00000040,1.67021087,79.88693726,2.93940987,18953.14988691,315.26491427,12.06091600,4777.58461933,352.63589014,2.11636486,25673.03085200,36.21266069,1.67381489,31554.82306583,
