Day,Time,FTime,Origin: P0_az,Origin: P0_el,P1_az,P1_el,P2_az,P2_el,P3_az,P3_el,
2020.087,164633.612,00060393.612,89.99123166,5.16338118,270.00876834,5.16338118,333.64464434,2.20773587,26.35535566,2.20773587,
2020.087,164633.712,00060393.712,116.75326827,2.22130823,180.00000000,5.11561949,0.00000000,5.11565019,63.21918435,2.22071619,
2020.087,164633.812,00060393.812,153.62727949,2.20773632,206.37272051,2.20773632,270.00859646,5.16018186,89.99140354,5.16018186,
2020.087,164633.912,00060393.912,180.00000000,5.11561949,243.24673173,2.22130823,296.78081565,2.22071619,360.00000000,5.11565019,
2020.087,164634.012,00060394.012,135.24772014,7.24706339,224.75227986,7.24706339,315.25615449,7.24597781,44.74384551,7.24597781,
2020.087,164634.112,00060394.112,79.88693726,2.93940987,315.26491427,12.06091599,352.63589014,2.11636486,36.21266069,1.67381488,
