timeSec, trackE, trackF, trackG, P0_mode, P0_rg, P0_az, P0_el, P1_mode, P1_rg, P1_az, P1_el, P2_mode, P2_rg, P2_az, P2_el, P3_mode, P3_rg, P3_az, P3_el
0.2,3135508.119500825,-5452726.272463083,1111908.801349936,0,NaN,177.44287720316902,84.28399924517429,0,NaN,-92.59011693000139,24.435113806460556,0,NaN,-45.995091569124966,18.04489462206615,0,NaN,0.12017195649153775,25.21944920110152,
0.22,3135511.9858603254,-5452724.049207765,1111908.801349936,0,NaN,177.18930248253926,84.2853412665339,0,NaN,-92.60202695564261,24.435767709400213,0,NaN,-45.989784461111554,18.049459584911926,0,NaN,0.13180748289211563,25.225822807978318,
0.24,3135515.8522198256,-5452721.825952445,1111908.801349936,0,NaN,176.942973207904,84.27869965744745,0,NaN,-92.60011665953309,24.44008398318624,0,NaN,-45.98568382442774,18.055453665453093,0,NaN,0.13965117377824016,25.222007904487075,
0.26,3135519.7185793263,-5452719.602697126,1111908.801349936,0,NaN,176.68141913248223,84.28389362921396,0,NaN,-92.6078503742641,24.437834379869358,0,NaN,-45.977416392446685,18.06126034043794,0,NaN,0.16099183533847805,25.225155151684547,
0.28,3135523.5849388265,-5452717.379441806,1111908.801349936,0,NaN,176.42711411159516,84.28085655718105,0,NaN,-92.59266838774958,24.441631283986705,0,NaN,-45.972936937668905,18.057074796611598,0,NaN,0.1705673680358066,25.217785402624017,
0.3,3135527.4512983267,-5452715.1561864875,1111908.801349936,0,NaN,176.176365248277,84.27264362244938,0,NaN,-92.60500790818327,24.448694888706562,0,NaN,-45.97134426707893,18.051963933213166,0,NaN,0.17682010395085312,25.21896301155524,
0.32,3135531.317657827,-5452712.932931168,1111908.801349936,0,NaN,175.91919727818748,84.27080995342189,0,NaN,-92.59503908694013,24.456011134485962,0,NaN,-45.96696750833466,18.060610187663073,0,NaN,0.18939914715974002,25.224372937373243,
0.34,3135535.184017327,-5452710.7096758485,1111908.801349936,0,NaN,175.65744226652595,84.27171582523025,0,NaN,-92.60302142266215,24.456828438583354,0,NaN,-45.9536254362486,18.056729574989824,0,NaN,0.20417539581602293,25.210037781566207,
0.36,3135539.0503768274,-5452708.486420529,1111908.801349936,0,NaN,175.41128519654265,84.27587993019577,0,NaN,-92.59843795484414,24.465208481450727,0,NaN,-45.946849552294516,18.062567351402542,0,NaN,0.21400775802894917,25.216896074693764,
0.38,3135542.9167363276,-5452706.263165209,1111908.801349936,0,NaN,175.15443870210484,84.2588436310807,0,NaN,-92.59787930803253,24.465600067459594,0,NaN,-45.94496096661403,18.069919802877514,0,NaN,0.24095053114095907,25.225830606618178,
0.4,3135546.783095828,-5452704.039909891,1111908.801349936,0,NaN,174.89417316512282,84.26492263040447,0,NaN,-92.60184148873199,24.474759869726707,0,NaN,-45.93310733065372,18.076514164655972,0,NaN,0.23806633290785909,25.227674090252332,
0.42,3135550.649455328,-5452701.816654571,1111908.801349936,0,NaN,174.6501408181313,84.25906670192322,0,NaN,-92.60128159270876,24.479282185048998,0,NaN,-45.93867050302673,18.06764284479406,0,NaN,0.2494256042808511,25.226847405135956,
0.44,3135554.515814828,-5452699.593399252,1111908.801349936,0,NaN,174.39052136049483,84.26049549998007,0,NaN,-92.60753682249283,24.488788103162,0,NaN,-45.912270237413985,18.07795562668001,0,NaN,0.26808227987180094,25.219837999221788,
0.46,3135558.3821743284,-5452697.370143932,1111908.801349936,0,NaN,174.15018874141427,84.26012422178458,0,NaN,-92.60048093792142,24.4856608108584,0,NaN,-45.91471963765226,18.071661691832936,0,NaN,0.279007248476048,25.22524465953508,
0.48,3135562.2485338286,-5452695.146888614,1111908.801349936,0,NaN,173.8864877507021,84.2495631699381,0,NaN,-92.60521908785846,24.492919334122625,0,NaN,-45.91341474663994,18.085511667405942,0,NaN,0.2922854402923267,25.214374275759376,
0.5,3135566.1148933293,-5452692.923633294,1111908.801349936,0,NaN,173.63473057886333,84.25561544718579,0,NaN,-92.61072176397386,24.49203088797337,0,NaN,-45.90092436845556,18.07062134714145,0,NaN,0.2985843981171893,25.223546383662676,
0.52,3135569.9812528295,-5452690.700377975,1111908.801349936,0,NaN,173.38295191956408,84.25775727180314,0,NaN,-92.60607608909547,24.500689284534918,0,NaN,-45.89813308893408,18.077770229863827,0,NaN,0.31713722145198253,25.21834176374331,
0.54,3135573.8476123298,-5452688.477122655,1111908.801349936,0,NaN,173.13520644309096,84.24655241513219,0,NaN,-92.60347373842923,24.50258752424906,0,NaN,-45.89812738360236,18.076904423409577,0,NaN,0.3281332047245345,25.217333819119435,
0.56,3135577.71397183,-5452686.253867337,1111908.801349936,0,NaN,172.88186269074234,84.24950581452389,0,NaN,-92.61150399304273,24.50569682050794,0,NaN,-45.88851334444106,18.084377495512705,0,NaN,0.34266078239007247,25.219678267625632,
0.58,3135581.58033133,-5452684.030612017,1111908.801349936,0,NaN,172.63479580235375,84.2405313520891,0,NaN,-92.60418879754899,24.52233847783801,0,NaN,-45.88728920138654,18.078670691655354,0,NaN,0.35502161295482343,25.2202908355967,
0.6,3135585.4466908304,-5452681.8073566975,1111908.801349936,0,NaN,172.3765587452793,84.23912368310772,0,NaN,-92.61163695753248,24.51628882356029,0,NaN,-45.875818787711246,18.07883682968225,0,NaN,0.35902565637358824,25.218124868105864,
0.62,3135589.3130503306,-5452679.584101378,1111908.801349936,0,NaN,172.123196575135,84.24442794722098,0,NaN,-92.60385436923443,24.513424025804063,0,NaN,-45.88202436840024,18.08832600550207,0,NaN,0.3718982413751266,25.22323008083366,
0.64,3135593.179409831,-5452677.360846058,1111908.801349936,0,NaN,171.88070304783687,84.23324090340785,0,NaN,-92.6010887317343,24.5313282977028,0,NaN,-45.87291107188753,18.091190572087594,0,NaN,0.3855335504897887,25.224041756132173,
0.66,3135597.045769331,-5452675.13759074,1111908.801349936,0,NaN,171.6260923676873,84.21934671616842,0,NaN,-92.60948148537668,24.53035647394033,0,NaN,-45.860925620643094,18.09239588476903,0,NaN,0.3925772323015567,25.22147271435659,
0.68,3135600.9121288313,-5452672.91433542,1111908.801349936,0,NaN,171.37528535963014,84.22359584333482,0,NaN,-92.61550631594032,24.527030542444557,0,NaN,-45.85970889019094,18.095127573361967,0,NaN,0.40421939846484567,25.220647069521707,
0.7000000000000001,3135604.7784883315,-5452670.691080101,1111908.801349936,0,NaN,171.13240448045272,84.21676590030863,0,NaN,-92.61000806275477,24.538231821064667,0,NaN,-45.84603282409179,18.09257666924862,0,NaN,0.42314178378502176,25.226253714410323,
0.72,3135608.6448478317,-5452668.467824781,1111908.801349936,0,NaN,170.87463937448928,84.20749789766529,0,NaN,-92.60482897521938,24.54356538047232,0,NaN,-45.842544735829485,18.09969868291386,0,NaN,0.42952721713834485,25.22469491342395,
0.74,3135612.5112073324,-5452666.244569463,1111908.801349936,0,NaN,170.63088258063567,84.20566456018352,0,NaN,-92.61343981413097,24.553241733700858,0,NaN,-45.83636600236354,18.10768875368107,0,NaN,0.44377673500186043,25.22045264380501,
0.76,3135616.3775668326,-5452664.021314143,1111908.801349936,0,NaN,170.37999549032529,84.2119466459549,0,NaN,-92.60894352090651,24.55281745462713,0,NaN,-45.83293757365097,18.098151412407073,0,NaN,0.46204779750899866,25.223564661926524,
0.78,3135620.243926333,-5452661.798058824,1111908.801349936,0,NaN,170.13703316144367,84.20120848814005,0,NaN,-92.60766148881578,24.55442432540872,0,NaN,-45.820450108242014,18.099552278917514,0,NaN,0.4690861998108269,25.22322037822435,
0.8,3135624.110285833,-5452659.574803504,1111908.801349936,0,NaN,169.87816317240492,84.2019298947741,0,NaN,-92.617708255813,24.562482809189312,0,NaN,-45.82194959046668,18.100239956685414,0,NaN,0.4803590533311479,25.22405349043709,
0.8200000000000001,3135627.976645333,-5452657.351548186,1111908.801349936,0,NaN,169.63670993645115,84.18300015301094,0,NaN,-92.6080354559436,24.56155810508609,0,NaN,-45.812094032007224,18.10374531588127,0,NaN,0.49289957485751623,25.21923074522755,
