time, NLat, ELon, eHgt
0.0, -60.1, 10.090973338993438, 10000.078772470006
0.02, -60.09995937350104, 10.090973338990944, 10000.078774026944
0.04, -60.09991874700209, 10.090973338983455, 10000.078778697643
0.06, -60.099878120503135, 10.090973338970938, 10000.078786481754
0.08, -60.099837494004184, 10.090973338953447, 10000.078797378694
0.1, -60.09979686750522, 10.090973338930928, 10000.07881138858
0.12, -60.099756241006276, 10.090973338903426, 10000.078828512458
0.14, -60.09971561450732, 10.09097333887093, 10000.078848751844
0.16, -60.09967498800835, 10.0909733388334, 10000.078872102778
0.18, -60.09963436150941, 10.090973338790894, 10000.078898567357
0.2, -60.099593735010465, 10.090973338743376, 10000.078928146278
0.22, -60.09955310851151, 10.090973338690839, 10000.078960839077
0.24, -60.09951248201254, 10.090973338633347, 10000.07899664354
0.26, -60.0994718555136, 10.090973338570812, 10000.079035562463
0.28, -60.099431229014634, 10.090973338503286, 10000.079077594448
0.3, -60.09939060251569, 10.090973338430773, 10000.079122740892
0.32, -60.09934997601673, 10.090973338353235, 10000.079171001096
0.34, -60.09930934951779, 10.090973338270716, 10000.079222373664
0.36, -60.099268723018845, 10.090973338183193, 10000.079276858829
0.38, -60.09922809651989, 10.090973338090654, 10000.079334459384
0.4, -60.099187470020944, 10.090973337993127, 10000.079395174631
0.42, -60.09914684352201, 10.090973337890585, 10000.079458999797
0.44, -60.09910621702305, 10.090973337783074, 10000.079525940586
0.46, -60.099065590524106, 10.09097333767052, 10000.079595995834
0.48, -60.09902496402516, 10.090973337552974, 10000.079669162631
0.5, -60.09898433752622, 10.090973337430444, 10000.07974544447
0.52, -60.098943711027275, 10.090973337302888, 10000.079824838205
0.54, -60.09890308452833, 10.090973337170363, 10000.079907345935
0.56, -60.098862458029394, 10.090973337032825, 10000.079992968007
0.58, -60.09882183153045, 10.090973336890274, 10000.080081703141
0.6, -60.098781205031514, 10.090973336742728, 10000.080173551454
0.62, -60.09874057853258, 10.090973336590178, 10000.080268514808
0.64, -60.098699952033634, 10.090973336432617, 10000.08036659041
0.66, -60.09865932553472, 10.090973336270068, 10000.080467779655
0.68, -60.098618699035775, 10.090973336102513, 10000.080572081264
0.7000000000000001, -60.09857807253684, 10.090973335929947, 10000.080679498264
0.72, -60.098537446037916, 10.090973335752405, 10000.080790027976
0.74, -60.09849681953898, 10.090973335569835, 10000.080903671915
0.76, -60.09845619304005, 10.090973335382277, 10000.0810204288
0.78, -60.09841556654113, 10.09097333518972, 10000.081140298513
0.8, -60.098374940042206, 10.090973334992148, 10000.081263282453
0.8200000000000001, -60.09833431354329, 10.09097333478958, 10000.08138938027
0.84, -60.09829368704436, 10.09097333458201, 10000.08151859045
0.86, -60.098253060545446, 10.09097333436945, 10000.081650914624
0.88, -60.09821243404652, 10.090973334151872, 10000.081786353374
0.9, -60.098171807547615, 10.0909733339293, 10000.081924904021
0.92, -60.0981311810487, 10.090973333701722, 10000.082066569128
0.9400000000000001, -60.098090554549785, 10.090973333469151, 10000.082211347064
0.96, -60.098049928050884, 10.090973333231585, 10000.082359238993
0.98, -60.09800930155197, 10.090973332989003, 10000.082510244567
1.0, -60.097968675053075, 10.090973332741415, 10000.082664364018
1.02, -60.09792804855416, 10.090973332488835, 10000.082821596763
1.04, -60.097887422055265, 10.090973332231249, 10000.082981941989
1.06, -60.09784679555636, 10.090973331968646, 10000.083145401324
1.08, -60.09780616905746, 10.090973331701058, 10000.0833119757
1.1, -60.09776554255857, 10.090973331428492, 10000.083481661626
1.12, -60.09772491605968, 10.090973331150881, 10000.083654461545
