time, NLat, ELon, eHgt
0.0,    10.03000000253767,   -60.06000000005967, 1999.9996996391565
0.02,    10.03000273417974,   -60.05999089781124, 1998.2931597840507
0.04,    10.03000547294299,   -60.05998179555779, 1996.5867594298907
0.06,    10.03000821882741,   -60.05997269329930, 1994.8804985786555
0.08,    10.03001097183307,   -60.05996359103580, 1993.174377229414
0.1,    10.03001373195990,   -60.05995448876729, 1991.468395381351
0.12000000000000001,    10.03001649920798,   -60.05994538649374, 1989.7625530355144
0.14,    10.03001927357725,   -60.05993628421518, 1988.0568501914386
0.16,    10.03002205506776,   -60.05992718193161, 1986.351286849822
0.18,    10.03002484367948,   -60.05991807964299, 1984.6458630114794
0.19999999999999998,    10.03002763941246,   -60.05990897734937, 1982.9405786746647
0.21999999999999997,    10.03003044226666,   -60.05989987505073, 1981.2354338422883
0.23999999999999996,    10.03003325224209,   -60.05989077274706, 1979.530428511789
0.25999999999999995,    10.03003606933880,   -60.05988167043836, 1977.8255626822356
0.27999999999999997,    10.03003889355675,   -60.05987256812466, 1976.1208363588667
0.3,    10.03004172489596,   -60.05986346580592, 1974.4162495370256
0.32,    10.03004456335644,   -60.05985436348217, 1972.7118022195064
0.34,    10.03004740893819,   -60.05984526115338, 1971.00749440433
0.36000000000000004,    10.03005026164123,   -60.05983615881959, 1969.3033260934753
0.38000000000000006,    10.03005312146554,   -60.05982705648079, 1967.5992972848471
0.4000000000000001,    10.03005598841115,   -60.05981795413694, 1965.8954079821706
0.4200000000000001,    10.03005886247805,   -60.05980885178807, 1964.191658180789
0.4400000000000001,    10.03006174366624,   -60.05979974943419, 1962.4880478865234
0.46000000000000013,    10.03006463197576,   -60.05979064707530, 1960.7845770934364
0.48000000000000015,    10.03006752740658,   -60.05978154471136, 1959.0812458065338
0.5000000000000001,    10.03007042995871,   -60.05977244234241, 1957.3780540217413
0.5200000000000001,    10.03007333963218,   -60.05976333996846, 1955.6750017437153
0.5400000000000001,    10.03007625642696,   -60.05975423758946, 1953.9720889689634
0.5600000000000002,    10.03007918034308,   -60.05974513520544, 1952.2693156999303
0.5800000000000002,    10.03008211138053,   -60.05973603281642, 1950.5666819356848
0.6000000000000002,    10.03008504953934,   -60.05972693042236, 1948.8641876763431
0.6200000000000002,    10.03008799481949,   -60.05971782802330, 1947.1618329196936
0.6400000000000002,    10.03009094722100,   -60.05970872561920, 1945.4596176709747
0.6600000000000003,    10.03009390674387,   -60.05969962321007, 1943.7575419262284
0.6800000000000003,    10.03009687338811,   -60.05969052079594, 1942.0556056878995
0.7000000000000003,    10.03009984715371,   -60.05968141837677, 1940.3538089542417
0.7200000000000003,    10.03010282804070,   -60.05967231595260, 1938.6521517279325
0.7400000000000003,    10.03010581604909,   -60.05966321352339, 1936.9506340057123
0.7600000000000003,    10.03010881117884,   -60.05965411108917, 1935.2492557896767
0.7800000000000004,    10.03011181342999,   -60.05964500864992, 1933.548017080524
0.8000000000000004,    10.03011482280255,   -60.05963590620565, 1931.8469178768573
0.8200000000000004,    10.03011783929651,   -60.05962680375636, 1930.1459581797244
0.8400000000000004,    10.03012086291188,   -60.05961770130205, 1928.4451379891252
0.8600000000000004,    10.03012389364867,   -60.05960859884272, 1926.744457304827
0.8800000000000004,    10.03012693150690,   -60.05959949637836, 1925.0439161271788
0.9000000000000005,    10.03012997648651,   -60.05959039390898, 1923.343514456763
0.9200000000000005,    10.03013302858759,   -60.05958129143460, 1921.6432522927644
0.9400000000000005,    10.03013608781010,   -60.05957218895518, 1919.9431296370458
0.9600000000000005,    10.03013915415405,   -60.05956308647075, 1918.243146487046
0.9800000000000005,    10.03014222761945,   -60.05955398398127, 1916.54330284358
1.0000000000000004,    10.03014530820633,   -60.05954488148679, 1914.8435987095581
1.0200000000000005,    10.03014839591464,   -60.05953577898729, 1913.1440340817207
1.0400000000000005,    10.03015149074444,   -60.05952667648276, 1911.4446089628618
1.0600000000000005,    10.03015459269568,   -60.05951757397322, 1909.7453233507695
1.0800000000000005,    10.03015770176842,   -60.05950847145865, 1908.0461772467243
1.1000000000000005,    10.03016081796263,   -60.05949936893907, 1906.3471706516575
1.1200000000000006,    10.03016394127836,   -60.05949026641445, 1904.6483035634737
1.1400000000000006,    10.03016707171555,   -60.05948116388481, 1902.9495759843849
1.1600000000000006,    10.03017020927425,   -60.05947206135016, 1901.25098791474
1.1800000000000006,    10.03017335395446,   -60.05946295881049, 1899.5525393508142
1.2000000000000006,    10.03017650575618,   -60.05945385626578, 1897.8542302986607
1.2200000000000006,    10.03017966467941,   -60.05944475371606, 1896.1560607533902
1.2400000000000007,    10.03018283072415,   -60.05943565116133, 1894.4580307174474
1.2600000000000007,    10.03018600389043,   -60.05942654860156, 1892.7601401917636
1.2800000000000007,    10.03018918417826,   -60.05941744603678, 1891.0623891744763
1.3000000000000007,    10.03019237158761,   -60.05940834346697, 1889.364777667215
1.3200000000000007,    10.03019556611850,   -60.05939924089215, 1887.6673056695145
1.3400000000000007,    10.03019876777095,   -60.05939013831231, 1885.969973180443
1.3600000000000008,    10.03020197654494,   -60.05938103572743, 1884.2727802010486
1.3800000000000008,    10.03020519244050,   -60.05937193313754, 1882.5757267320296
1.4000000000000008,    10.03020841545764,   -60.05936283054263, 1880.8788127726875
1.4200000000000008,    10.03021164559633,   -60.05935372794270, 1879.1820383239537
1.4400000000000008,    10.03021488285661,   -60.05934462533774, 1877.4854033859447
1.4600000000000009,    10.03021812723848,   -60.05933552272776, 1875.788907956914
1.4800000000000009,    10.03022137874192,   -60.05932642011276, 1874.0925520391902
