Lat, Lon, H, AZmin, AZmean, AZmode, AZmax, AZdev, ELmin, ELmean, ELmode, ELmax, ELdev, Rmin, Rmean, Rmode, Rmax, Rdev
9.8,-60.199999999999996,1000.0,-8.322448642239522E-5,1.794422074850031E-6,1.397544320269617E-6,1.2252038619653405E-4,3.1391055944781026E-5,-5.697047725072846E-5,2.395039715252747E-7,2.657648626169795E-7,4.530413724168625E-5,1.38482399383363E-5,-7.71049390360713,-0.14427645970322206,-0.07489947928115726,6.8064555721357465,2.3955589425007338
9.8,-60.190000000000005,1000.0,-1.1219836104192638E-4,8.552742853939793E-8,8.985633437319507E-7,1.0066981388501262E-4,3.144053991140932E-5,-4.712438735232638E-5,-6.737718477145623E-8,4.657918650785575E-7,4.714056398236188E-5,1.3795816731222211E-5,-8.983774528838694,-0.007182142932899961,-0.03041290119290352,7.317119847051799,2.2851001595639207
9.8,-60.18,1000.0,-1.1425795253927618E-4,-1.928669491433339E-6,-1.587490439103334E-6,1.0008396391647523E-4,3.035326832866697E-5,-4.504096474788888E-5,-2.316715266925656E-7,-3.1228062136179346E-7,4.818547453544486E-5,1.29833070103528E-5,-5.975002926774323,0.06469644892495097,0.09199994523078203,6.6550589464604855,2.097443572864139
9.8,-60.17,1000.0,-1.0542229941012948E-4,-1.1327804859728695E-6,-1.0240402925631997E-6,8.885558225202317E-5,2.9972761135350988E-5,-3.314076068572369E-5,4.815968988602819E-8,-7.321367512247434E-8,3.71354714628902E-5,1.179406563219932E-5,-6.042921422980726,0.1315933817056941,0.1332960268482566,6.528063388541341,2.0001896690106538
9.8,-60.16,1000.0,-1.1252211474577223E-4,6.820001302898486E-7,1.3554977140728397E-7,9.939919699331057E-5,2.864218513913121E-5,-4.604476039449246E-5,-2.280015184802375E-7,-3.1496438956946093E-7,3.939254580032081E-5,1.162200091620467E-5,-6.34674951992929,-0.0024743755096572955,7.26915430277586E-4,5.852417909540236,1.8014020255617866
9.8,-60.15,1000.0,-8.627295262186863E-5,-1.1560175509650697E-6,-1.2266630711188498E-6,9.758416850580431E-5,2.8317850762842065E-5,-3.5401391743072885E-5,-2.0315724401753743E-7,-6.642695418723754E-7,3.1971829493882E-5,1.0587664698164732E-5,-5.304325453005731,0.026509490898810273,0.09324126085266471,5.0694259544834495,1.6957565658949856
9.8,-60.14000000000001,1000.0,-7.897394973976901E-5,1.1011122013382383E-6,2.5626570065995224E-6,9.791740994025133E-5,2.6241934053100753E-5,-3.511549810930603E-5,6.00870680161944E-8,-6.542266478559711E-8,3.5057455023967954E-5,1.0418199889727982E-5,-5.295101427473128,-0.045343351140618285,-0.029443825595080853,5.080040452070534,1.5188959230447456
9.8,-60.129999999999995,1000.0,-8.219020568134283E-5,1.1356346095504551E-7,-9.124281330485928E-8,7.974024328838425E-5,2.5560391911140523E-5,-2.9430596349966365E-5,1.436633595336446E-7,6.944260841357242E-7,3.11568731514722E-5,1.019359548828075E-5,-4.39054951351136,0.0636811087429523,0.06158005399629474,4.8048833049833775,1.385694794853583
9.8,-60.11999999999999,1000.0,-8.003498388031716E-5,1.215306392601262E-6,1.0032368336077013E-6,6.504074063329313E-5,2.3625266815502386E-5,-2.815658106170016E-5,7.5665065011055E-7,7.706932142470535E-7,2.9841172203282085E-5,9.416794053711987E-6,-3.835783670656383,-0.05398214300069973,-0.09339991444721818,4.265198881737888,1.2402441065569125
9.8,-60.11,1000.0,-8.778738616044279E-5,-2.4492930535746784E-7,5.531072799769277E-7,6.223783184822196E-5,2.2631691247209436E-5,-2.9206799823655594E-5,4.739989660124085E-7,5.07433677576774E-7,2.8749521773230313E-5,9.325121487769692E-6,-4.424865911714733,0.03146646528691032,0.048494880087673664,3.9037459418177605,1.1939313028222258
9.8,-60.1,1000.0,-7.401390496486471E-5,3.3986854346857306E-7,7.896461085010742E-7,6.92194572859961E-5,2.075427159753838E-5,-3.3429382117478035E-5,-2.2510111013673838E-7,-1.7565898485782938E-7,2.9931472620425836E-5,9.068988787318256E-6,-3.160054231993854,0.02202258349116904,-0.02593462774530053,3.921143871732056,1.1370254800293274
9.8,-60.09,1000.0,-6.42396209027396E-5,-6.709077453193118E-7,4.4874983728959705E-8,6.06797735258624E-5,1.955063882565807E-5,-2.8235211748661726E-5,3.607181752796039E-7,6.334435276311723E-7,2.8723242589401288E-5,9.26666172108387E-6,-3.662208139896393,0.052990474845282715,0.02094528265297413,3.8855615463107824,1.13751577416771
9.8,-60.08,1000.0,-5.986186626394385E-5,-2.98345275524528E-7,-9.792440458511464E-7,5.2636124379112914E-5,1.7744281052763878E-5,-3.0110299878427504E-5,1.1521339631337553E-7,1.1214400408299241E-7,2.7975191603246685E-5,9.046129313683713E-6,-3.477529655210674,0.03049697103630771,0.02903161011636257,3.0160529101267457,1.0848462542265462
9.8,-60.06999999999999,1000.0,-5.082071459661108E-5,-2.1538800107467826E-7,-4.861749003381988E-7,6.0643467487686564E-5,1.661168490334678E-5,-3.165449196262937E-5,-2.1304017939260996E-7,-2.0632152236688128E-7,3.0113125932818008E-5,9.283811292824874E-6,-3.5286764092743397,-0.041539237945340875,-0.04886919353157282,2.9889167714864016,1.101201581335021
9.8,-60.06,1000.0,-5.099599482694117E-5,4.6659052205910335E-7,9.417738588979319E-7,5.167146978291015E-5,1.6249430381558255E-5,-2.824784214039422E-5,4.050951272177542E-7,4.5841106910415874E-7,2.6033923407053905E-5,9.096626969211839E-6,-3.6352082500234246,0.022607604580000443,0.04554839478805661,3.7890389300882816,1.127703853978395
9.8,-60.05,1000.0,-4.965567497183798E-5,2.7383121714130964E-7,8.010320806661753E-7,4.702258870281639E-5,1.5572060657106043E-5,-2.9150456928306312E-5,2.3664564821224052E-7,3.757780386859366E-7,2.6619253676307686E-5,9.066932644145385E-6,-3.415152568370104,0.0014002936836330626,-0.022115990053862333,4.159972636960447,1.1260826314826669
9.8,-60.04,1000.0,-5.2420639429229254E-5,-1.4521384039234761E-7,-3.571174156391521E-7,4.679731830048439E-5,1.4916636359951715E-5,-2.9176208958814343E-5,-4.324061344484946E-8,6.65580490721851E-8,3.602770795696486E-5,9.407110938220205E-6,-3.5529352761805058,0.00715254644025078,-0.026670453138649464,3.504584737122059,1.1388046301671566
9.8,-60.03,1000.0,-4.412508438633722E-5,8.337439077532553E-7,1.1527384047305134E-6,4.576465130856633E-5,1.4238918399356227E-5,-3.2176915806814144E-5,3.160785056438579E-7,7.774229660029164E-7,2.9342533972576135E-5,9.306650042261535E-6,-3.417849681340158,-0.03005136150028589,0.010224030818790197,3.4351123264059424,1.1101049662897715
9.8,-60.02000000000001,1000.0,-4.8021306970902344E-5,-7.162405725713597E-7,-1.0485290835582362E-6,4.083991688830224E-5,1.3312874506441799E-5,-2.7016857096495706E-5,6.030697926240343E-7,6.845460398530179E-7,3.101311905784332E-5,8.714373802444339E-6,-3.938760919496417,-0.004240977359935582,-0.013440215028822422,4.4230828108266,1.1760038973329543
9.8,-60.010000000000005,1000.0,-4.034265721486463E-5,-5.451673382328424E-7,-3.983329066592489E-7,4.499003241953403E-5,1.3743679823213462E-5,-2.576932630282691E-5,-3.5595609092775394E-7,-2.1615719963952174E-7,2.8041924607369317E-5,9.1447721210769E-6,-4.18425577133894,-0.013082750990055838,0.0028685256838798523,4.099765784107149,1.1834777886105707
