Lat, Lon, H, AZmin, AZmean, AZmode, AZmax, AZdev, ELmin, ELmean, ELmode, ELmax, ELdev, Rmin, Rmean, Rmode, Rmax, Rdev
10.01,-60.06,1000.0,-0.023396139220297485,-1.4643218265570176E-4,-3.8275181951874515E-4,0.025030255965576842,0.008892593994167622,-0.014801446075026758,1.2230866957318122E-4,1.5134889898849035E-4,0.015636221804820327,0.005155295340718917,-2.612194869322593,-0.03768433274693257,-0.0714249958587061,2.2956915431650486,0.7122133010176119
10.01,-60.05,1000.0,-0.02662590053836844,-3.081617578666405E-4,-1.4523739844785055E-4,0.029229141684696813,0.009428952798193285,-0.016212962993940733,7.857953002309676E-5,-1.6397497086900747E-4,0.018088589214921846,0.0058048179377072785,-2.0906558742808556,-0.016892018813398735,0.0023199246611511626,1.947024470906399,0.7008121599484848
10.01,-60.04,1000.0,-0.04128645810510534,-5.177987971473953E-5,-9.867265878371612E-5,0.03459292617745913,0.011438854339428083,-0.02306935134499255,-1.1722394029073425E-5,-2.4009064415700387E-4,0.022387261729443497,0.007300421971660465,-2.4029490180064386,0.028673370200621218,0.05631932470669199,2.3552307842928712,0.7372192736972837
10.01,-60.03,1000.0,-0.04708971384809857,2.040403141711386E-4,2.2223202216453686E-4,0.04523279658022794,0.013765795893152428,-0.029388631218516537,1.4371319314916188E-4,4.4518472216273364E-4,0.031040881913560192,0.009332566868219337,-2.1201297070588225,0.037469044068636964,0.07165810726701238,2.5080802447910173,0.7377042328840867
10.01,-60.02000000000001,1000.0,-0.059838938543022024,-3.528753007137768E-4,-2.761481448909642E-4,0.05398645041354122,0.017819785181053895,-0.039032993134405225,1.1818017918002689E-4,3.1350202185878584E-4,0.041489251355475154,0.012596610042734702,-2.1968393589613697,-0.0046671634106716185,0.0023522946630691877,2.269026270823815,0.696253379496874
10.01,-60.010000000000005,1000.0,-0.08794089006714856,0.0012374681029953438,0.0011939803521276993,0.07783170873954415,0.027700360689138708,-0.06466074387588783,3.5519787544674284E-4,9.088899501194514E-4,0.04968048174786133,0.019494994596843476,-2.2361362806493617,0.00939269138262167,0.02182899496722257,2.2119964145367703,0.6708740599970818
10.01,-60.0,1000.0,-359.999996352225,-178.56033561059067,-0.10062964067583335,-1.7941911920171805E-4,180.05255947941694,-0.0885843393382485,6.496778085821958E-4,0.0013868520139467821,0.08611871966416829,0.027445516148304507,-2.13920325734739,0.0027410890142040294,0.0016912295071733752,2.4226576513844975,0.6743649770214811
10.01,-59.99,1000.0,-0.09935908650316128,9.935548608356482E-4,0.0012042531698142067,0.0843813602558402,0.028298013056298754,-0.057655201412743495,-2.6218802776409046E-4,3.8696293759549194E-4,0.05481328701225974,0.019030808570354066,-2.2421883490726486,0.014379475348669945,0.01596812083835175,2.872089530099629,0.7203936395533297
10.01,-59.98,1000.0,-0.06131084738945858,-0.0010374410292142357,-0.0010343340463175865,0.06200878907165697,0.018748295861444938,-0.03772400508222168,4.317682882376925E-4,9.127129753146168E-4,0.04427920183754819,0.01270657400430909,-2.5337270284394435,-0.02248997731547761,-0.03455279581157811,2.2088825853215894,0.7307483493028748
10.01,-59.97,1000.0,-0.03901964839394756,2.1585709302395265E-4,5.299585811141538E-4,0.03771701929890736,0.013233958385627652,-0.026736514378410958,-7.099836487721312E-5,5.6569081053198245E-5,0.03254619972906797,0.009031330235437498,-2.252028129570135,-0.03758513484733093,-0.030396353897685913,2.5244253344699246,0.738493465825661
10.01,-59.96000000000001,1000.0,-0.033622409461776526,-1.4546002011677734E-4,3.1294264974390806E-5,0.03973226715367928,0.01116581623062785,-0.026429308033528165,2.9578513397864406E-4,5.107215004994392E-4,0.021730521587574603,0.00702143970487986,-2.8758035131395445,-0.0542533442362164,-0.0474925838557283,2.333345188416388,0.7098013403500598
10.01,-59.949999999999996,1000.0,-0.03192634709459519,2.8009984288126697E-4,4.6574217922812355E-4,0.030371381056933933,0.009516977277486169,-0.02330252408296915,-2.1849706940328412E-4,-2.579946629876345E-4,0.016530784928525805,0.006180937422622075,-2.0965392639800484,-0.008556864374114672,0.01734548180411366,2.0514236289454857,0.6939506369601943
10.01,-59.93999999999999,1000.0,-0.02718808160835473,1.3667741779132162E-4,4.724432835695458E-4,0.028181965832635436,0.008663550106999762,-0.016794036940605134,9.828756926073376E-5,9.24944303879599E-5,0.018573742207847604,0.005007643893365417,-2.12032255977374,0.022371269751135184,0.04480219523293272,2.264188370632837,0.6816252113475253
10.01,-59.93,1000.0,-0.026928164369672825,-2.2997214135457868E-4,-4.495012791533304E-4,0.022494635466470125,0.007773269935777851,-0.012444443425869561,7.164454792796904E-5,3.117200582158919E-5,0.013434431102836708,0.004502383892444316,-2.0305623994345297,-0.002439431475351405,0.017282241898556094,2.463907619803649,0.6621716142966467
10.01,-59.92,1000.0,-0.02167525907674217,1.5132036871829898E-4,-2.1843702423363087E-4,0.02534416826679986,0.00804642108698903,-0.013087475760131945,-4.0263208106036334E-5,1.1931115297549033E-4,0.011995797350174281,0.004094514458311605,-2.427811439083598,0.025425952277833765,0.03174107972790807,2.0824224432290066,0.6774433918879942
10.01,-59.91,1000.0,-0.0230385241986919,-1.2711908570352972E-4,-3.381854106154769E-4,0.024944792682746186,0.007474143576487176,-0.01046740046057093,-7.750800711936244E-5,-3.3558746439232845E-5,0.011260298943610442,0.003590171458317587,-2.290151975606932,0.027199426929120748,0.03491367402875767,2.1572203402829473,0.6881002449956135
10.01,-59.9,1000.0,-0.022629447255712032,1.3516546875790957E-4,3.911571568648853E-5,0.022734696402829657,0.0068265634265876375,-0.011602050959166055,3.2946299003529604E-5,-6.853844526796826E-5,0.010386778674888464,0.0034321057271529776,-2.916168668445607,0.007588747015246669,0.055333538375634816,1.8491773051937344,0.651781773154913
10.01,-59.89000000000001,1000.0,-0.019393924634566462,2.7457354437450088E-5,2.7744865321199796E-4,0.018907712410823896,0.0063338535619715235,-0.010853165600707704,6.17076515889771E-5,1.674280523884797E-4,0.010129343905731503,0.003336179830580511,-2.473322606030706,0.008190841421628636,0.005555284599722654,2.128344408725752,0.6905758881315308
